tik,uik,turnout,stationary,putin,koib,cam,marked,gaps
26 Тихвинская,975,100%,138,72%,,,,missing
16 Ломоносовская,972,100%,1030,89%,,,,missing
2 Волосовская,968,100%,54,74%,,,,missing
26 Тихвинская,977,100%,178,84%,,,,missing
26 Тихвинская,976,100%,116,76%,,,,missing
24 Сланцевская,973,100%,117,82%,,,,missing
12 Киришская,971,99%,96,72%,,,,missing
7 Гатчинская,970,98%,413,75%,,,,missing
7 Гатчинская,438,97%,648,84%,,,,missing
5 Всеволожская,967,96%,2163,77%,,,,missing
5 Всеволожская,127,96%,2070,72%,,,,missing
26 Тихвинская,984,95%,2381,73%,,,,missing
7 Гатчинская,467,95%,484,86%,,,,missing
3 Волховская,112,95%,208,85%,,,,missing
26 Тихвинская,974,95%,288,80%,,,,missing
7 Гатчинская,469,94%,195,87%,,,,missing
15 Лодейнопольская,612,94%,63,83%,,,,missing
13 Кировская,580,94%,130,90%,,,,missing
2 Волосовская,43,93%,1622,91%,,,,missing
24 Сланцевская,822,93%,263,96%,,,,missing
25 Сосновоборская городская,980,93%,1449,61%,,,,missing
7 Гатчинская,969,93%,154,81%,,,,missing
1 Бокситогорская,20,92%,191,93%,,,,missing
6 Выборгская,330,92%,2165,81%,,,,missing
6 Выборгская,291,92%,604,90%,,,,missing
6 Выборгская,324,91%,203,84%,,,,missing
15 Лодейнопольская,601,91%,203,84%,,,,missing
11 Кингисеппская,982,91%,545,72%,,,,missing
12 Киришская,545,90%,443,82%,,,,missing
16 Ломоносовская,634,90%,1736,80%,,,,missing
2 Волосовская,48,90%,901,89%,,,,missing
5 Всеволожская,953,90%,2290,81%,,,,missing
7 Гатчинская,452,90%,518,78%,,,,missing
5 Всеволожская,118,90%,2163,87%,,,,missing
6 Выборгская,337,89%,367,89%,,,,missing
7 Гатчинская,448,89%,695,91%,,,,missing
6 Выборгская,332,89%,134,88%,,,,missing
13 Кировская,592,89%,275,82%,,,,missing
7 Гатчинская,431,89%,189,81%,,,,missing
2 Волосовская,44,89%,90,88%,,,,missing
15 Лодейнопольская,615,88%,60,87%,,,,missing
2 Волосовская,49,88%,282,85%,,,,missing
16 Ломоносовская,644,88%,993,88%,,,,missing
11 Кингисеппская,503,88%,264,85%,,,,missing
1 Бокситогорская,22,88%,68,87%,,,,missing
7 Гатчинская,365,88%,135,78%,,,,missing
6 Выборгская,353,87%,698,80%,,,,missing
11 Кингисеппская,496,87%,755,78%,,,,missing
17 Лужская,669,87%,122,86%,,,,missing
6 Выборгская,351,87%,578,88%,,,,missing
5 Всеволожская,145,86%,1718,82%,,,,missing
1 Бокситогорская,26,86%,86,80%,,,,missing
6 Выборгская,978,86%,811,59%,,,,missing
27 Тосненская,887,86%,492,73%,,,,missing
2 Волосовская,59,86%,1150,87%,,,,missing
24 Сланцевская,814,86%,517,88%,,,,missing
26 Тихвинская,853,86%,100,90%,,,,missing
7 Гатчинская,416,85%,701,77%,,,,missing
2 Волосовская,51,85%,441,89%,,,,missing
16 Ломоносовская,660,85%,1134,85%,,,,missing
5 Всеволожская,148,85%,1348,79%,,,,missing
6 Выборгская,296,85%,234,84%,,,,missing
5 Всеволожская,195,84%,616,86%,,,,missing
20 Подпорожская,741,84%,63,78%,,,,missing
17 Лужская,719,84%,469,87%,,,,missing
7 Гатчинская,470,84%,519,73%,,,,missing
25 Сосновоборская городская,985,84%,267,67%,,,,missing
6 Выборгская,326,84%,690,77%,,,,missing
1 Бокситогорская,21,84%,281,88%,,,,missing
6 Выборгская,350,83%,1605,85%,,,,missing
1 Бокситогорская,17,83%,329,81%,,,,missing
5 Всеволожская,159,83%,1327,88%,,,,missing
2 Волосовская,41,83%,1210,88%,,,,missing
1 Бокситогорская,19,83%,193,72%,,,,missing
3 Волховская,96,83%,1511,86%,,,,missing
13 Кировская,589,83%,92,86%,,,,missing
1 Бокситогорская,30,83%,305,86%,,,,missing
5 Всеволожская,187,83%,612,83%,,,,missing
6 Выборгская,299,83%,195,88%,,,,missing
5 Всеволожская,960,83%,1690,69%,,,,missing
7 Гатчинская,450,82%,856,82%,,,,missing
1 Бокситогорская,24,82%,899,84%,,,,missing
11 Кингисеппская,509,82%,158,84%,,,,missing
2 Волосовская,50,82%,449,86%,,,,missing
1 Бокситогорская,31,82%,40,89%,,,,missing
26 Тихвинская,852,82%,474,87%,,,,missing
15 Лодейнопольская,611,81%,178,87%,,,,missing
21 Приозерская,787,81%,363,84%,,,,missing
13 Кировская,590,81%,113,90%,,,,missing
6 Выборгская,327,81%,665,88%,,,,missing
6 Выборгская,334,81%,531,88%,,,,missing
6 Выборгская,333,81%,318,87%,,,,missing
6 Выборгская,342,81%,115,94%,,,,missing
26 Тихвинская,854,81%,127,83%,,,,missing
13 Кировская,578,81%,1550,85%,,,,missing
20 Подпорожская,732,81%,60,74%,,,,missing
27 Тосненская,893,80%,422,78%,,,,missing
2 Волосовская,58,80%,551,84%,,,,missing
2 Волосовская,55,80%,520,89%,,,,missing
2 Волосовская,40,80%,1238,89%,,,,missing
11 Кингисеппская,502,80%,905,77%,,,,missing
6 Выборгская,335,80%,628,91%,,,,missing
7 Гатчинская,445,80%,268,88%,,,,missing
27 Тосненская,894,80%,541,77%,,,,missing
20 Подпорожская,754,80%,45,85%,,,,missing
24 Сланцевская,819,79%,413,89%,,,,missing
5 Всеволожская,199,79%,2197,80%,,,,missing
15 Лодейнопольская,609,79%,174,90%,,,,missing
5 Всеволожская,135,79%,1488,78%,,,,missing
5 Всеволожская,157,79%,657,88%,,,,missing
11 Кингисеппская,500,79%,534,85%,,,,missing
25 Сосновоборская городская,932,79%,939,72%,КОИБ,,,missing
7 Гатчинская,443,79%,399,85%,,,,missing
2 Волосовская,60,79%,668,87%,,,,missing
17 Лужская,692,79%,1071,87%,,,,missing
11 Кингисеппская,510,79%,130,89%,,,,missing
11 Кингисеппская,498,78%,143,81%,,,,missing
21 Приозерская,789,78%,615,79%,,,,missing
26 Тихвинская,859,78%,200,81%,,,,missing
1 Бокситогорская,33,78%,185,87%,,,,missing
3 Волховская,92,78%,52,75%,,,,missing
6 Выборгская,281,78%,211,75%,,,,missing
11 Кингисеппская,499,78%,85,81%,,,,missing
15 Лодейнопольская,620,78%,233,88%,,,,missing
24 Сланцевская,820,78%,644,88%,,,,missing
13 Кировская,593,78%,129,85%,,,,missing
2 Волосовская,57,78%,728,84%,,,,missing
5 Всеволожская,170,78%,883,80%,,,,missing
21 Приозерская,769,77%,932,87%,,,,missing
13 Кировская,582,77%,500,84%,,,,missing
6 Выборгская,979,77%,267,65%,,,,missing
17 Лужская,706,77%,255,77%,,,,missing
16 Ломоносовская,626,77%,1723,76%,КОИБ,,,missing
5 Всеволожская,140,77%,1198,78%,КОИБ,,,missing
6 Выборгская,345,77%,363,88%,,,,missing
7 Гатчинская,459,77%,752,85%,,,,missing
5 Всеволожская,130,76%,1118,78%,,,,missing
5 Всеволожская,188,76%,541,81%,,,,missing
17 Лужская,707,76%,340,82%,,,,missing
6 Выборгская,239,76%,488,76%,,,,missing
3 Волховская,63,76%,645,82%,,,,missing
27 Тосненская,981,76%,846,78%,,,,missing
7 Гатчинская,419,76%,538,78%,,,,missing
5 Всеволожская,173,76%,482,90%,,,,missing
5 Всеволожская,220,76%,1680,79%,,,,missing
21 Приозерская,785,76%,951,81%,,,,missing
2 Волосовская,47,76%,788,87%,,,,missing
17 Лужская,717,76%,833,82%,,,,missing
11 Кингисеппская,508,76%,190,85%,,,,missing
7 Гатчинская,428,75%,194,82%,,,,missing
15 Лодейнопольская,608,75%,120,90%,,,,missing
15 Лодейнопольская,607,75%,156,82%,,,,missing
13 Кировская,588,75%,249,82%,,,,missing
12 Киришская,538,75%,111,87%,,,,missing
