tik,uik,turnout,stationary,putin,koib,cam,marked,gaps
5 Всеволожская,121,92%,1717,84%,,c1,yes,
5 Всеволожская,121,92%,1717,84%,,c2,yes,4
7 Гатчинская,405,82%,1696,82%,,c1,yes,"42, 42, 49"
7 Гатчинская,405,82%,1696,82%,,c2,,"40, 47"
7 Гатчинская,430,82%,962,86%,,c1,yes,"19, 40"
7 Гатчинская,430,82%,962,86%,,c2,yes,"3, 21, 42"
11 Кингисеппская,512,77%,1336,75%,,c1,yes,"3, 41"
11 Кингисеппская,512,77%,1336,75%,,c2,yes,17
15 Лодейнопольская,604,77%,1221,73%,,c1,yes,"23, 44, 28, 34, 31, 46, 35"
15 Лодейнопольская,604,77%,1221,73%,,c2,,36
5 Всеволожская,196,77%,2036,84%,,c1,,"23, 36"
5 Всеволожская,196,77%,2036,84%,,c2,yes,"21, 35, 4"
7 Гатчинская,388,76%,1107,79%,,c1,yes,"21, 1850, 2954, 2954, 801, 801, 801, 141, 63, 45"
7 Гатчинская,388,76%,1107,79%,,c2,yes,"19, 1859, 2380, 2380, 1376, 1376, 136, 136, 54, 48"
7 Гатчинская,432,76%,1690,81%,,c1,yes,"5, 24, 4, 5, 47"
7 Гатчинская,432,76%,1690,81%,,c2,yes,"21, 38"
5 Всеволожская,184,76%,827,80%,КОИБ,c1,yes,"21, 42"
5 Всеволожская,184,76%,827,80%,КОИБ,c2,yes,"22, 3, 44"
7 Гатчинская,439,74%,846,84%,,c1,yes,"18, 46"
7 Гатчинская,439,74%,846,84%,,c2,yes,"20, 2, 45"
5 Всеволожская,191,74%,1226,86%,,c1,yes,"20, 36, 12822"
5 Всеволожская,191,74%,1226,86%,,c2,yes,"20, 43, 12812"
12 Киришская,516,73%,2007,73%,КОИБ,c1,,45
12 Киришская,516,73%,2007,73%,КОИБ,c2,yes,"19, 45, 28, 612"
26 Тихвинская,826,72%,1660,78%,,c1,yes,"20, 38"
26 Тихвинская,826,72%,1660,78%,,c2,yes,"19, 37, 2"
26 Тихвинская,856,71%,617,83%,,c1,,"5, 2, 45"
26 Тихвинская,856,71%,617,83%,,c2,yes,"20, 47"
6 Выборгская,241,71%,808,75%,,c1,yes,"22, 52"
