tik,uik,turnout,stationary,putin,koib,cam,marked,gaps
27 Тосненская,920,99%,1468,90%,,c1,yes,"21, 36"
27 Тосненская,920,99%,1468,90%,,c2,yes,"20, 35"
6 Выборгская,298,93%,1228,87%,,c1,yes,"19, 45"
6 Выборгская,298,93%,1228,87%,,c2,yes,"21, 44"
5 Всеволожская,152,91%,1065,77%,,c1,,
5 Всеволожская,152,91%,1065,77%,,c2,,
7 Гатчинская,407,90%,1280,89%,,c1,,
7 Гатчинская,407,90%,1280,89%,,c2,yes,
6 Выборгская,293,90%,976,88%,,c1,yes,"21, 35"
6 Выборгская,293,90%,976,88%,,c2,,"20, 47"
27 Тосненская,866,89%,1640,84%,,c1,yes,"21, 43"
27 Тосненская,866,89%,1640,84%,,c2,yes,"23, 40"
27 Тосненская,925,89%,1725,88%,,c1,yes,"12, 37"
27 Тосненская,925,89%,1725,88%,,c2,yes,"8, 36"
6 Выборгская,292,89%,1855,86%,,c1,yes,"19, 42"
6 Выборгская,292,89%,1855,86%,,c2,,"20, 45"
7 Гатчинская,435,88%,709,85%,,c1,yes,"21, 36"
7 Гатчинская,435,88%,709,85%,,c2,yes,"22, 45"
27 Тосненская,902,88%,1823,87%,,c1,yes,"19, 42"
27 Тосненская,902,88%,1823,87%,,c2,yes,
7 Гатчинская,409,87%,1272,87%,,c1,,
7 Гатчинская,409,87%,1272,87%,,c2,yes,
5 Всеволожская,144,87%,956,75%,КОИБ,c1,,"21, 36"
5 Всеволожская,144,87%,956,75%,КОИБ,c2,,"20, 35"
7 Гатчинская,404,86%,1330,86%,,c1,yes,
7 Гатчинская,404,86%,1330,86%,,c2,,
26 Тихвинская,847,85%,2080,77%,,c1,yes,"21, 45"
26 Тихвинская,847,85%,2080,77%,,c2,,"20, 45"
27 Тосненская,904,85%,1443,81%,,c1,,"22, 38"
27 Тосненская,904,85%,1443,81%,,c2,yes,"21, 39"
6 Выборгская,297,85%,918,88%,,c1,,"20, 46"
6 Выборгская,297,85%,918,88%,,c2,,"21, 36"
27 Тосненская,922,84%,1095,84%,,c1,yes,"20, 44"
27 Тосненская,922,84%,1095,84%,,c2,yes,"20, 45"
27 Тосненская,926,84%,1997,85%,,c1,yes,"6, 36"
27 Тосненская,926,84%,1997,85%,,c2,,35
5 Всеволожская,143,84%,1037,76%,КОИБ,c1,yes,"23, 36"
5 Всеволожская,143,84%,1037,76%,КОИБ,c2,yes,"23, 36"
6 Выборгская,322,84%,1110,85%,,c1,yes,"8, 36"
6 Выборгская,322,84%,1110,85%,,c2,yes,"19, 43"
7 Гатчинская,371,83%,783,82%,,c1,yes,"3, 35"
7 Гатчинская,371,83%,783,82%,,c2,,"20, 37"
7 Гатчинская,410,83%,2212,85%,,c1,,
7 Гатчинская,410,83%,2212,85%,,c2,yes,
27 Тосненская,883,83%,1326,84%,,c1,,37
27 Тосненская,883,83%,1326,84%,,c2,yes,"5, 44"
11 Кингисеппская,511,82%,1240,78%,,c1,yes,"20, 46"
11 Кингисеппская,511,82%,1240,78%,,c2,yes,"20, 36"
25 Сосновоборская городская,939,82%,1044,79%,КОИБ,c1,yes,"21, 35"
25 Сосновоборская городская,939,82%,1044,79%,КОИБ,c2,yes,"20, 45"
6 Выборгская,348,82%,1432,82%,,c1,yes,"23, 38"
6 Выборгская,348,82%,1432,82%,,c2,yes,"20, 41"
17 Лужская,694,81%,1463,83%,,c1,,40
17 Лужская,694,81%,1463,83%,,c2,yes,"10, 35"
6 Выборгская,329,81%,809,88%,,c1,yes,"21, 38"
6 Выборгская,329,81%,809,88%,,c2,,"22, 36"
7 Гатчинская,458,80%,774,82%,,c1,yes,36
7 Гатчинская,458,80%,774,82%,,c2,,"21, 42"
6 Выборгская,321,80%,1178,85%,,c1,yes,"19, 46"
6 Выборгская,321,80%,1178,85%,,c2,yes,"19, 44"
11 Кингисеппская,513,79%,1285,77%,,c1,yes,"6, 36"
11 Кингисеппская,513,79%,1285,77%,,c2,yes,"2, 36"
12 Киришская,543,79%,1190,77%,,c1,,"5, 47"
12 Киришская,543,79%,1190,77%,,c2,yes,"15, 42"
27 Тосненская,878,79%,1475,80%,,c1,yes,35
27 Тосненская,878,79%,1475,80%,,c2,yes,"21, 38"
5 Всеволожская,142,79%,1011,77%,КОИБ,c1,yes,"21, 36"
5 Всеволожская,142,79%,1011,77%,КОИБ,c2,yes,"21, 40"
5 Всеволожская,186,79%,980,84%,,c1,yes,"5, 40"
5 Всеволожская,186,79%,980,84%,,c2,yes,"21, 36"
12 Киришская,539,78%,680,76%,,c1,,"20, 45"
12 Киришская,539,78%,680,76%,,c2,yes,41
27 Тосненская,869,78%,641,85%,,c1,yes,"19, 40"
27 Тосненская,869,78%,641,85%,,c2,yes,"20, 43"
5 Всеволожская,119,78%,1568,90%,,c1,yes,
5 Всеволожская,119,78%,1568,90%,,c2,yes,
5 Всеволожская,185,78%,1368,81%,,c1,yes,"15, 46"
5 Всеволожская,185,78%,1368,81%,,c2,,"17, 40"
7 Гатчинская,403,77%,1046,78%,,c1,yes,
7 Гатчинская,403,77%,1046,78%,,c2,yes,
7 Гатчинская,422,77%,1110,77%,,c1,,"21, 45"
7 Гатчинская,422,77%,1110,77%,,c2,yes,"20, 50"
5 Всеволожская,141,77%,994,79%,КОИБ,c1,yes,35
5 Всеволожская,141,77%,994,79%,КОИБ,c2,yes,"40, 35"
17 Лужская,705,76%,1247,83%,,c1,yes,"5, 35"
17 Лужская,705,76%,1247,83%,,c2,,
26 Тихвинская,836,76%,1384,82%,,c1,yes,44
26 Тихвинская,836,76%,1384,82%,,c2,,"21, 42"
7 Гатчинская,373,75%,1797,75%,,c1,yes,"20, 45"
7 Гатчинская,373,75%,1797,75%,,c2,,"21, 42"
7 Гатчинская,424,75%,900,81%,,c1,,
7 Гатчинская,424,75%,900,81%,,c2,yes,"20, 43"
7 Гатчинская,451,75%,998,82%,,c1,yes,"22, 37"
7 Гатчинская,451,75%,998,82%,,c2,yes,"19, 36"
7 Гатчинская,464,75%,940,83%,,c1,,"22, 44"
7 Гатчинская,464,75%,940,83%,,c2,yes,"23, 36"
11 Кингисеппская,484,75%,1132,81%,,c1,yes,"21, 37"
11 Кингисеппская,484,75%,1132,81%,,c2,yes,
27 Тосненская,870,75%,1438,77%,,c1,yes,"20, 42"
27 Тосненская,870,75%,1438,77%,,c2,yes,"19, 37"
27 Тосненская,897,75%,729,53%,,c1,yes,"23, 35"
27 Тосненская,897,75%,729,53%,,c2,yes,"21, 35"
27 Тосненская,921,75%,1213,76%,,c1,yes,"19, 50"
27 Тосненская,921,75%,1213,76%,,c2,yes,"6, 39"
27 Тосненская,924,75%,1527,73%,,c1,yes,"20, 35"
27 Тосненская,924,75%,1527,73%,,c2,yes,"21, 40"
5 Всеволожская,132,75%,1387,85%,,c1,yes,"2, 36"
5 Всеволожская,132,75%,1387,85%,,c2,yes,
5 Всеволожская,150,75%,960,76%,,c1,yes,"19, 45"
5 Всеволожская,150,75%,960,76%,,c2,yes,"22, 47"
7 Гатчинская,397,74%,1581,76%,,c1,,"19, 41"
7 Гатчинская,397,74%,1581,76%,,c2,yes,"21, 47"
25 Сосновоборская городская,936,74%,1028,77%,КОИБ,c1,yes,"21, 40"
25 Сосновоборская городская,936,74%,1028,77%,КОИБ,c2,yes,"19, 45"
25 Сосновоборская городская,943,74%,1654,76%,КОИБ,c1,yes,"22, 38"
25 Сосновоборская городская,943,74%,1654,76%,КОИБ,c2,yes,"15, 38"
25 Сосновоборская городская,951,74%,891,76%,КОИБ,c1,yes,"21, 46"
25 Сосновоборская городская,951,74%,891,76%,КОИБ,c2,yes,"22, 46"
26 Тихвинская,842,74%,1430,80%,,c1,,"19, 38"
26 Тихвинская,842,74%,1430,80%,,c2,,"20, 36"
1 Бокситогорская,18,73%,642,83%,,c1,yes,"21, 43"
1 Бокситогорская,18,73%,642,83%,,c2,yes,"19, 35"
1 Бокситогорская,4,73%,1571,76%,,c1,yes,"8, 41"
1 Бокситогорская,4,73%,1571,76%,,c2,yes,"6, 35"
7 Гатчинская,466,73%,543,83%,,c1,,
7 Гатчинская,466,73%,543,83%,,c2,yes,"16, 47"
12 Киришская,524,73%,2063,74%,КОИБ,c1,yes,"7, 35"
12 Киришская,524,73%,2063,74%,КОИБ,c2,yes,39
21 Приозерская,790,73%,619,81%,,c1,yes,"12, 35"
21 Приозерская,790,73%,619,81%,,c2,,36
25 Сосновоборская городская,946,73%,1756,75%,КОИБ,c1,yes,
25 Сосновоборская городская,946,73%,1756,75%,КОИБ,c2,,"23, 36"
26 Тихвинская,830,73%,1390,82%,,c1,yes,36
26 Тихвинская,830,73%,1390,82%,,c2,,"7, 36"
26 Тихвинская,831,73%,1309,77%,,c1,yes,"23, 47"
26 Тихвинская,831,73%,1309,77%,,c2,,"21, 47"
26 Тихвинская,840,73%,1475,81%,,c1,,"26, 46"
26 Тихвинская,840,73%,1475,81%,,c2,yes,"20, 46"
26 Тихвинская,841,73%,1392,80%,,c1,,"21, 40"
26 Тихвинская,841,73%,1392,80%,,c2,,"3, 37"
6 Выборгская,310,73%,714,83%,,c1,yes,"21, 47"
6 Выборгская,310,73%,714,83%,,c2,yes,"20, 38"
1 Бокситогорская,13,72%,1397,80%,,c1,yes,"19, 36"
1 Бокситогорская,13,72%,1397,80%,,c2,,"20, 40"
1 Бокситогорская,2,72%,1617,78%,,c1,yes,"20, 43"
1 Бокситогорская,2,72%,1617,78%,,c2,yes,"22, 42"
12 Киришская,537,72%,823,78%,,c1,yes,"20, 52"
12 Киришская,537,72%,823,78%,,c2,yes,"22, 44"
3 Волховская,105,72%,675,79%,,c1,yes,"21, 43"
3 Волховская,105,72%,675,79%,,c2,,"21, 45"
5 Всеволожская,197,72%,986,82%,,c1,,"16, 41"
5 Всеволожская,197,72%,986,82%,,c2,yes,"7, 36"
1 Бокситогорская,1,71%,1582,80%,,c1,yes,"11, 37"
1 Бокситогорская,1,71%,1582,80%,,c2,,"6, 38"
1 Бокситогорская,14,71%,1363,80%,,c1,yes,"20, 41"
1 Бокситогорская,14,71%,1363,80%,,c2,,"20, 43"
1 Бокситогорская,6,71%,1548,78%,,c1,yes,"22, 41"
1 Бокситогорская,6,71%,1548,78%,,c2,,"22, 36"
7 Гатчинская,377,71%,1104,77%,,c1,yes,"21, 38"
7 Гатчинская,377,71%,1104,77%,,c2,yes,37
7 Гатчинская,392,71%,1101,79%,,c1,,"23, 37"
7 Гатчинская,392,71%,1101,79%,,c2,yes,"20, 38"
20 Подпорожская,722,71%,439,77%,,c1,yes,
20 Подпорожская,722,71%,439,77%,,c2,yes,"16, 35"
25 Сосновоборская городская,942,71%,1673,78%,КОИБ,c1,yes,
25 Сосновоборская городская,942,71%,1673,78%,КОИБ,c2,yes,"20, 35"
25 Сосновоборская городская,949,71%,1886,77%,КОИБ,c1,,"20, 43"
25 Сосновоборская городская,949,71%,1886,77%,КОИБ,c2,yes,"21, 45"
26 Тихвинская,832,71%,1271,78%,,c1,yes,"21, 42"
26 Тихвинская,832,71%,1271,78%,,c2,,"20, 42"
5 Всеволожская,172,71%,817,86%,,c1,,"21, 36"
5 Всеволожская,172,71%,817,86%,,c2,yes,
5 Всеволожская,205,71%,1623,81%,,c1,,"9, 35"
5 Всеволожская,205,71%,1623,81%,,c2,yes,"9, 35"
6 Выборгская,264,71%,908,62%,,c1,yes,"20, 42"
6 Выборгская,264,71%,908,62%,,c2,,"20, 42"
1 Бокситогорская,12,70%,1155,80%,,c1,,"19, 47"
1 Бокситогорская,12,70%,1155,80%,,c2,,"21, 44"
7 Гатчинская,400,70%,703,80%,,c1,yes,43
7 Гатчинская,400,70%,703,80%,,c2,,"9, 50"
7 Гатчинская,447,70%,1061,85%,,c1,yes,"21, 48"
7 Гатчинская,447,70%,1061,85%,,c2,yes,"19, 35"
11 Кингисеппская,477,70%,1148,77%,,c1,yes,"20, 41"
11 Кингисеппская,477,70%,1148,77%,,c2,yes,
11 Кингисеппская,485,70%,1106,78%,,c1,yes,
11 Кингисеппская,485,70%,1106,78%,,c2,yes,
11 Кингисеппская,486,70%,1095,78%,,c1,yes,"5, 36"
11 Кингисеппская,486,70%,1095,78%,,c2,yes,"10, 35"
13 Кировская,576,70%,783,80%,,c1,yes,"19, 44"
13 Кировская,576,70%,783,80%,,c2,yes,"6, 43"
25 Сосновоборская городская,947,70%,1774,74%,КОИБ,c1,yes,"20, 47"
25 Сосновоборская городская,947,70%,1774,74%,КОИБ,c2,yes,"20, 38"
26 Тихвинская,843,70%,1345,80%,,c1,yes,"20, 45"
26 Тихвинская,843,70%,1345,80%,,c2,yes,"21, 41"
3 Волховская,107,70%,807,77%,,c1,yes,"15, 40"
3 Волховская,107,70%,807,77%,,c2,yes,46
5 Всеволожская,133,70%,1142,79%,,c1,,"19, 47"
5 Всеволожская,133,70%,1142,79%,,c2,yes,"20, 36"
5 Всеволожская,167,70%,1190,83%,,c1,yes,"20, 42"
5 Всеволожская,167,70%,1190,83%,,c2,yes,"21, 37"
5 Всеволожская,227,70%,1523,77%,,c1,,"20, 36"
5 Всеволожская,227,70%,1523,77%,,c2,yes,"7, 36"
6 Выборгская,313,70%,628,83%,,c1,yes,"20, 45"
6 Выборгская,313,70%,628,83%,,c2,yes,"21, 47"
1 Бокситогорская,10,69%,1304,78%,,c1,,"7, 35"
1 Бокситогорская,10,69%,1304,78%,,c2,yes,"19, 36"
1 Бокситогорская,8,69%,1175,82%,,c1,yes,"20, 38"
1 Бокситогорская,8,69%,1175,82%,,c2,yes,"21, 38"
1 Бокситогорская,9,69%,1296,79%,,c1,,"19, 45"
1 Бокситогорская,9,69%,1296,79%,,c2,,"20, 41"
7 Гатчинская,383,69%,1303,80%,,c1,,"21, 46"
7 Гатчинская,383,69%,1303,80%,,c2,yes,"20, 40"
7 Гатчинская,390,69%,949,77%,,c1,,
7 Гатчинская,390,69%,949,77%,,c2,,"20, 42"
7 Гатчинская,427,69%,541,82%,,c1,yes,
7 Гатчинская,427,69%,541,82%,,c2,yes,"22, 47"
11 Кингисеппская,491,69%,1355,76%,,c1,yes,"4, 35"
11 Кингисеппская,491,69%,1355,76%,,c2,yes,"20, 36"
11 Кингисеппская,492,69%,1594,78%,,c1,,"10, 36"
11 Кингисеппская,492,69%,1594,78%,,c2,yes,"7, 36"
12 Киришская,515,69%,1516,78%,КОИБ,c1,yes,"18, 44"
12 Киришская,515,69%,1516,78%,КОИБ,c2,yes,"20, 44"
12 Киришская,526,69%,1395,76%,КОИБ,c1,yes,"5, 40"
12 Киришская,526,69%,1395,76%,КОИБ,c2,yes,"21, 36"
12 Киришская,529,69%,1482,75%,КОИБ,c1,yes,"21, 37"
12 Киришская,529,69%,1482,75%,КОИБ,c2,yes,"21, 36"
21 Приозерская,773,69%,927,79%,,c1,yes,"15, 48"
21 Приозерская,773,69%,927,79%,,c2,yes,"21, 41"
25 Сосновоборская городская,928,69%,1762,72%,КОИБ,c1,yes,"15, 36"
25 Сосновоборская городская,928,69%,1762,72%,КОИБ,c2,yes,"15, 46"
25 Сосновоборская городская,935,69%,1411,79%,КОИБ,c1,yes,"30, 54"
25 Сосновоборская городская,935,69%,1411,79%,КОИБ,c2,yes,"20, 47"
25 Сосновоборская городская,940,69%,1548,75%,КОИБ,c1,yes,"20, 43"
25 Сосновоборская городская,940,69%,1548,75%,КОИБ,c2,yes,"20, 40"
25 Сосновоборская городская,950,69%,1380,74%,КОИБ,c1,yes,"21, 38"
25 Сосновоборская городская,950,69%,1380,74%,КОИБ,c2,yes,"21, 37"
26 Тихвинская,839,69%,1303,79%,,c1,yes,"6, 39"
26 Тихвинская,839,69%,1303,79%,,c2,,"17, 36"
26 Тихвинская,844,69%,886,76%,,c1,yes,"20, 48"
26 Тихвинская,844,69%,886,76%,,c2,yes,43
2 Волосовская,38,69%,1042,81%,,c1,yes,38
2 Волосовская,38,69%,1042,81%,,c2,yes,"21, 43"
1 Бокситогорская,15,68%,1293,81%,,c1,yes,"18, 36"
1 Бокситогорская,15,68%,1293,81%,,c2,yes,"21, 40"
1 Бокситогорская,3,68%,518,78%,,c1,,"15, 36"
1 Бокситогорская,3,68%,518,78%,,c2,yes,"8, 37"
7 Гатчинская,363,68%,558,81%,,c1,yes,"22, 40"
7 Гатчинская,363,68%,558,81%,,c2,yes,"20, 35"
7 Гатчинская,366,68%,1323,77%,,c1,yes,"21, 43"
7 Гатчинская,366,68%,1323,77%,,c2,,"21, 38"
7 Гатчинская,387,68%,801,75%,,c1,,"4, 41"
7 Гатчинская,387,68%,801,75%,,c2,yes,"19, 36"
7 Гатчинская,398,68%,1603,80%,,c1,yes,"18, 35"
7 Гатчинская,398,68%,1603,80%,,c2,,"10, 43"
11 Кингисеппская,481,68%,1194,74%,,c1,yes,35
11 Кингисеппская,481,68%,1194,74%,,c2,yes,"10, 36"
12 Киришская,517,68%,1120,77%,КОИБ,c1,yes,"13, 36"
12 Киришская,517,68%,1120,77%,КОИБ,c2,yes,
12 Киришская,520,68%,1539,76%,КОИБ,c1,yes,"11, 35"
12 Киришская,520,68%,1539,76%,КОИБ,c2,yes,"5, 36"
12 Киришская,522,68%,1375,77%,КОИБ,c1,yes,43
12 Киришская,522,68%,1375,77%,КОИБ,c2,yes,48
12 Киришская,525,68%,1318,73%,КОИБ,c1,,"20, 40"
12 Киришская,525,68%,1318,73%,КОИБ,c2,yes,"19, 43"
13 Кировская,566,68%,1892,79%,,c1,yes,"8, 35"
13 Кировская,566,68%,1892,79%,,c2,yes,"11, 36"
13 Кировская,575,68%,959,79%,,c1,yes,"21, 46"
13 Кировская,575,68%,959,79%,,c2,,40
17 Лужская,681,68%,807,82%,,c1,,"7, 46"
17 Лужская,681,68%,807,82%,,c2,yes,"15, 35"
21 Приозерская,777,68%,672,83%,,c1,,"2, 43"
21 Приозерская,777,68%,672,83%,,c2,yes,"8, 49"
25 Сосновоборская городская,938,68%,1686,76%,КОИБ,c1,yes,"19, 48"
25 Сосновоборская городская,938,68%,1686,76%,КОИБ,c2,yes,
25 Сосновоборская городская,948,68%,1890,76%,КОИБ,c1,yes,"20, 46"
25 Сосновоборская городская,948,68%,1890,76%,КОИБ,c2,yes,"21, 42"
26 Тихвинская,838,68%,1340,79%,,c1,yes,"5, 36"
26 Тихвинская,838,68%,1340,79%,,c2,yes,"5, 36"
3 Волховская,106,68%,937,77%,,c1,yes,35
3 Волховская,106,68%,937,77%,,c2,,"15, 36"
1 Бокситогорская,11,67%,1313,80%,,c1,yes,"20, 45"
1 Бокситогорская,11,67%,1313,80%,,c2,,"21, 36"
1 Бокситогорская,5,67%,997,77%,,c1,,35
1 Бокситогорская,5,67%,997,77%,,c2,yes,39
7 Гатчинская,368,67%,1297,75%,,c1,yes,"23, 43"
7 Гатчинская,368,67%,1297,75%,,c2,,"21, 36"
7 Гатчинская,372,67%,1818,76%,,c1,,"21, 43"
7 Гатчинская,372,67%,1818,76%,,c2,,"20, 45"
7 Гатчинская,395,67%,1152,79%,,c1,yes,"20, 38"
7 Гатчинская,395,67%,1152,79%,,c2,,"21, 41"
7 Гатчинская,457,67%,820,77%,,c1,yes,"5, 39"
7 Гатчинская,457,67%,820,77%,,c2,,"19, 39"
11 Кингисеппская,478,67%,1087,80%,,c1,,
11 Кингисеппская,478,67%,1087,80%,,c2,yes,"5, 44"
11 Кингисеппская,487,67%,1155,80%,,c1,yes,"8, 36"
11 Кингисеппская,487,67%,1155,80%,,c2,yes,"4, 35"
11 Кингисеппская,488,67%,1084,79%,,c1,,
11 Кингисеппская,488,67%,1084,79%,,c2,yes,"5, 35"
11 Кингисеппская,489,67%,1140,78%,,c1,yes,"4, 46"
11 Кингисеппская,489,67%,1140,78%,,c2,yes,40
11 Кингисеппская,493,67%,780,76%,,c1,yes,"2, 38"
11 Кингисеппская,493,67%,780,76%,,c2,yes,"6, 45"
12 Киришская,518,67%,1304,76%,КОИБ,c1,,"20, 35"
