tik,uik,voters,turnout,putin,stationary,cam,marked,gaps,mn_in,mn_out,koib
TIK-3,671,10,100%,100%,0,,,missing,0,0,
TIK-3,702,21,100%,67%,0,,,missing,0,0,
TIK-3,744,13,100%,54%,0,,,missing,,,
TIK-2,192,21,100%,62%,0,,,missing,0,0,
TIK-3,659,11,100%,100%,0,,,missing,0,0,
TIK-3,656,11,100%,100%,0,,,missing,0,0,
TIK-3,647,10,100%,80%,0,,,missing,0,0,
TIK-3,658,11,100%,100%,0,,,missing,0,0,
TIK-3,680,10,100%,100%,0,,,missing,0,0,
TIK-3,649,12,100%,100%,0,,,missing,0,0,
TIK-3,719,45,100%,67%,45,,,missing,0,0,
TIK-22,403,658,100%,80%,18,,,missing,38,0,
TIK-3,701,25,100%,72%,0,,,missing,0,0,
TIK-3,753,38,100%,45%,38,,,missing,?,?,
TIK-3,694,11,100%,91%,0,,,missing,0,0,
TIK-3,652,11,100%,100%,0,,,missing,0,0,
TIK-3,717,25,100%,80%,0,,,missing,0,0,
TIK-3,2298,14,100%,43%,14,,,missing,?,?,
TIK-3,663,11,100%,91%,0,,,missing,0,0,
TIK-3,729,11,100%,64%,0,,,missing,,,
TIK-3,693,11,100%,36%,0,,,missing,0,0,
TIK-3,688,11,100%,82%,0,,,missing,0,0,
TIK-3,732,9,100%,89%,0,,,missing,,,
TIK-3,720,29,100%,72%,29,,,missing,0,0,
TIK-3,708,21,100%,76%,21,,,missing,0,0,
TIK-2,190,37,100%,78%,0,,,missing,0,0,
TIK-3,704,21,100%,62%,0,,,missing,0,0,
TIK-3,739,24,100%,79%,0,,,missing,,,
TIK-3,667,11,100%,73%,0,,,missing,0,0,
TIK-3,756,25,100%,64%,25,,,missing,?,?,
TIK-3,695,11,100%,91%,0,,,missing,0,0,
TIK-8,1702,400,100%,76%,365,,,missing,145,0,
TIK-3,676,10,100%,100%,0,,,missing,0,0,
TIK-3,746,5,100%,60%,5,,,missing,?,?,
TIK-3,651,11,100%,100%,0,,,missing,0,0,
TIK-3,682,10,100%,100%,0,,,missing,0,0,
TIK-3,2301,12,100%,83%,12,,,missing,?,?,
TIK-23,2102,148,100%,81%,146,,,missing,50,0,
TIK-3,655,11,100%,100%,0,,,missing,0,0,
TIK-3,714,26,100%,58%,0,,,missing,0,0,
TIK-3,738,56,100%,52%,0,,,missing,,,
TIK-3,700,25,100%,36%,0,,,missing,0,0,
TIK-3,679,10,100%,80%,0,,,missing,0,0,
TIK-3,742,27,100%,52%,0,,,missing,,,
TIK-3,698,10,100%,70%,0,,,missing,1,0,
TIK-3,657,11,100%,73%,0,,,missing,0,0,
TIK-3,745,5,100%,100%,5,,,missing,?,?,
TIK-3,725,25,100%,72%,0,,,missing,,,
TIK-3,751,9,100%,89%,9,,,missing,?,?,
TIK-23,2103,536,100%,70%,536,,,missing,0,0,
TIK-3,687,11,100%,45%,0,,,missing,0,0,
TIK-3,703,18,100%,61%,0,,,missing,0,0,
TIK-3,664,10,100%,70%,0,,,missing,0,0,
TIK-3,2296,48,100%,83%,48,,,missing,?,?,
TIK-3,674,9,100%,78%,0,,,missing,0,0,
TIK-3,709,28,100%,54%,0,,,missing,0,0,
TIK-3,683,10,100%,100%,0,,,missing,1,0,
TIK-3,685,11,100%,100%,0,,,missing,0,0,
TIK-3,706,19,100%,74%,0,,,missing,0,0,
TIK-3,755,27,100%,59%,27,,,missing,?,?,
TIK-3,648,10,100%,100%,0,,,missing,0,0,
TIK-2,188,25,100%,40%,0,,,missing,0,0,
TIK-3,686,11,100%,100%,0,,,missing,0,0,
TIK-20,1983,184,100%,90%,121,,,missing,34,8,
TIK-3,723,52,100%,81%,52,,,missing,0,0,
TIK-3,750,5,100%,100%,5,,,missing,?,?,
TIK-3,705,19,100%,79%,0,,,missing,0,0,
TIK-3,672,10,100%,100%,0,,,missing,0,0,
TIK-3,668,10,100%,100%,0,,,missing,0,0,
TIK-30,2269,227,100%,74%,29,,,missing,26,0,
TIK-3,712,30,100%,60%,0,,,missing,0,0,
TIK-3,733,11,100%,64%,0,,,missing,,,
TIK-3,713,36,100%,75%,0,,,missing,0,0,
