tik,uik,voters,turnout,putin,stationary,cam,marked,gaps,mn_in,mn_out,koib
TIK-17,515,1632,88%,74%,1479,c1,yes,36,405,310,
TIK-17,515,1632,88%,74%,1479,c2,yes,,405,310,
TIK-14,298,1343,80%,76%,1340,c1,yes,"19, 35",154,398,
TIK-14,298,1343,80%,76%,1340,c2,yes,"6, 35",154,398,
TIK-22,358,1170,80%,69%,1130,c1,yes,6,256,229,
TIK-22,358,1170,80%,69%,1130,c2,yes,31,256,229,
TIK-2,158,2056,77%,61%,2055,c1,yes,"35, 44, 2",2037,54,
TIK-2,158,2056,77%,61%,2055,c2,,,2037,54,
TIK-2,136,1221,76%,72%,1056,c1,yes,,102,184,КОИБ
TIK-2,136,1221,76%,72%,1056,c2,,"18, 22, 38, 42, 19, 15, 19, 18, 39",102,184,КОИБ
TIK-4,905,1798,76%,74%,1631,c1,,"X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X",204,452,КОИБ
TIK-4,905,1798,76%,74%,1631,c2,,,204,452,КОИБ
TIK-14,297,1366,76%,78%,1315,c1,yes,"7, 43",168,466,
TIK-14,297,1366,76%,78%,1315,c2,,"10, 33",168,466,
TIK-14,299,1320,76%,82%,1317,c1,yes,,120,467,
TIK-14,299,1320,76%,82%,1317,c2,yes,"15, 35",120,467,
TIK-19,1316,1740,76%,79%,1703,c1,yes,4,169,336,
TIK-19,1316,1740,76%,79%,1703,c2,,,169,336,
TIK-2,162,1065,75%,73%,998,c1,yes,,115,143,КОИБ
TIK-2,162,1065,75%,73%,998,c2,yes,"2, 3, 6, 3, 11, 11, 6, 8, 20, 6, 6, 5, 2, 2, 6, 2, 6, 34, 5, 2, 2, 5, 8, 35, 19, 7",115,143,КОИБ
TIK-4,909,1221,75%,77%,1155,c1,,"198, 25",86,387,КОИБ
TIK-4,909,1221,75%,77%,1155,c2,yes,"232, 140, 96, 105, 123, 25",86,387,КОИБ
TIK-10,237,1274,75%,76%,1225,c1,,5,235,322,
TIK-10,237,1274,75%,76%,1225,c2,yes,2,235,322,
TIK-11,471,1486,74%,70%,1460,c1,yes,1867,92,268,
TIK-11,471,1486,74%,70%,1460,c2,yes,1868,92,268,
TIK-12,1729,916,74%,74%,853,c1,yes,,289,174,
TIK-12,1729,916,74%,74%,853,c2,yes,123,289,174,
TIK-18,1616,1357,74%,77%,1279,c1,yes,"33, 40, 6",131,119,
TIK-18,1616,1357,74%,77%,1279,c2,yes,"35, 40, 7",131,119,
TIK-2,157,1233,73%,69%,1215,c1,yes,"28, 45, 3",528,163,КОИБ
TIK-2,157,1233,73%,69%,1215,c2,yes,"29, 42",528,163,КОИБ
TIK-10,213,1497,73%,76%,1453,c1,yes,,274,327,
TIK-10,213,1497,73%,76%,1453,c2,,17,274,327,
TIK-12,1730,911,73%,74%,843,c1,yes,94,289,174,
TIK-12,1730,911,73%,74%,843,c2,yes,99,289,174,
TIK-14,278,1433,73%,79%,1400,c1,,19,310,340,
TIK-14,278,1433,73%,79%,1400,c2,yes,,310,340,
TIK-16,2204,1275,73%,69%,1256,c1,yes,"20, 46, 3",689,233,
TIK-16,2204,1275,73%,69%,1256,c2,yes,"19, 41, 19",689,233,
TIK-4,951,1142,72%,74%,1107,c1,yes,,223,210,КОИБ
TIK-4,951,1142,72%,74%,1107,c2,yes,15,223,210,КОИБ
TIK-11,436,1385,72%,76%,1344,c1,,,121,214,
TIK-11,436,1385,72%,76%,1344,c2,,64,121,214,
TIK-14,309,977,72%,95%,948,c1,yes,"11, 116",133,194,
TIK-14,309,977,72%,95%,948,c2,yes,"8, 121",133,194,
TIK-18,1638,1378,72%,77%,1300,c1,yes,"31, 40, 20",287,114,
TIK-18,1638,1378,72%,77%,1300,c2,yes,"35, 41, 29",287,114,
TIK-20,1998,1569,72%,76%,1546,c1,yes,25,287,508,
TIK-20,1998,1569,72%,76%,1546,c2,yes,25,287,508,
TIK-10,238,1054,71%,77%,1019,c1,,3,145,222,
TIK-10,238,1054,71%,77%,1019,c2,yes,7,145,222,
TIK-11,473,1368,71%,78%,1327,c1,,182,44,220,
TIK-11,473,1368,71%,78%,1327,c2,,173,44,220,
TIK-14,292,692,71%,77%,654,c1,yes,"15, 3",287,76,
TIK-14,292,692,71%,77%,654,c2,yes,21,287,76,
TIK-17,565,1809,71%,72%,1797,c1,,"30, 52",199,307,
TIK-17,565,1809,71%,72%,1797,c2,yes,27,199,307,
TIK-22,354,1014,71%,72%,985,c1,yes,20,121,329,
TIK-22,354,1014,71%,72%,985,c2,yes,21,121,329,
