tik,uik,voters,turnout,putin,stationary,cam,marked,gaps,mn_in,mn_out,koib
TIK-17,562,1890,96%,74%,1851,c1,yes,,219,367,
TIK-17,562,1890,96%,74%,1851,c2,yes,,219,367,
TIK-17,531,1905,94%,88%,1709,c1,yes,,151,369,
TIK-17,531,1905,94%,88%,1709,c2,yes,,151,369,
TIK-2,137,1298,92%,71%,1278,c1,yes,,367,145,КОИБ
TIK-2,137,1298,92%,71%,1278,c2,yes,,367,145,КОИБ
TIK-9,1798,1551,87%,78%,1478,c1,yes,,125,338,
TIK-9,1798,1551,87%,78%,1478,c2,yes,,125,338,
TIK-17,571,876,87%,68%,870,c1,yes,,213,300,
TIK-17,571,876,87%,68%,870,c2,yes,,213,300,
TIK-11,482,1910,86%,85%,1876,c1,yes,,113,259,
TIK-11,482,1910,86%,85%,1876,c2,yes,,113,259,
TIK-14,290,1455,85%,78%,1325,c1,yes,,349,329,
TIK-14,290,1455,85%,78%,1325,c2,yes,,349,329,
TIK-3,592,875,84%,73%,867,c1,yes,,316,238,
TIK-3,592,875,84%,73%,867,c2,yes,,316,238,
TIK-17,561,1606,84%,75%,1552,c1,yes,,123,261,
TIK-17,561,1606,84%,75%,1552,c2,yes,,123,261,
TIK-4,931,1457,83%,74%,1384,c1,yes,,380,281,КОИБ
TIK-4,931,1457,83%,74%,1384,c2,yes,,380,281,КОИБ
TIK-2,171,1133,82%,70%,1100,c1,yes,,179,245,КОИБ
TIK-23,2075,1219,82%,77%,1205,c1,yes,,176,108,
TIK-23,2075,1219,82%,77%,1205,c2,yes,,176,108,
TIK-11,479,1756,81%,74%,1665,c1,yes,,117,244,
TIK-11,479,1756,81%,74%,1665,c2,yes,,117,244,
TIK-12,1780,1720,81%,81%,1698,c1,yes,,103,293,
TIK-12,1780,1720,81%,81%,1698,c2,yes,,103,293,
TIK-14,300,1439,81%,78%,1435,c1,yes,,139,459,
TIK-14,300,1439,81%,78%,1435,c2,yes,,139,459,
TIK-17,570,970,81%,73%,883,c1,yes,,86,212,
TIK-17,570,970,81%,73%,883,c2,yes,,86,212,
TIK-22,396,1527,81%,75%,1477,c2,yes,,284,402,
TIK-8,1723,618,80%,75%,599,c1,yes,,115,67,
TIK-8,1723,618,80%,75%,599,c2,yes,,115,67,
TIK-11,431,1373,80%,77%,1316,c1,yes,,340,200,
TIK-14,259,1593,80%,75%,1563,c1,yes,,273,331,
TIK-14,259,1593,80%,75%,1563,c2,yes,,273,331,
TIK-15,1238,729,80%,78%,715,c2,yes,,62,96,КОИБ
TIK-17,537,1869,80%,80%,1828,c1,yes,,112,196,
TIK-17,537,1869,80%,80%,1828,c2,yes,,112,196,
TIK-18,1613,1008,80%,76%,955,c1,yes,,116,76,
TIK-18,1613,1008,80%,76%,955,c2,yes,,116,76,
TIK-19,1349,2093,80%,82%,2013,c1,yes,,587,652,
TIK-19,1349,2093,80%,82%,2013,c2,yes,,587,652,
TIK-22,382,1383,80%,76%,1209,c1,yes,,215,236,
TIK-22,382,1383,80%,76%,1209,c2,yes,,215,236,
TIK-22,394,982,80%,76%,952,c1,yes,,196,263,
TIK-22,394,982,80%,76%,952,c2,yes,,196,263,
TIK-29,2172,1350,80%,87%,1144,c1,yes,,86,105,
TIK-29,2172,1350,80%,87%,1144,c2,yes,,86,105,
TIK-8,1676,1383,79%,77%,1365,c1,yes,,213,183,КОИБ
TIK-8,1676,1383,79%,77%,1365,c2,yes,,213,183,КОИБ
TIK-14,255,1507,79%,74%,1473,c1,yes,,118,380,
TIK-14,255,1507,79%,74%,1473,c2,yes,,118,380,
TIK-17,572,1603,79%,66%,1593,c1,yes,,545,361,
TIK-17,574,1266,79%,73%,1261,c1,yes,,260,393,
