% пу,явка,Вышестоящая комиссия,№ УИК,"Число избирателей, внесенных в списки избирателей",10.00,12.00,15.00,18.00,"1. Число избирателей, включенных в список избирателей","2. Число избирательных бюллетеней, полученных участковой избирательной комиссией","3. Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","4. Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","5. Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",6. Число погашенных избирательных бюллетеней,7. Число избирательных бюллетеней в переносных ящиках для голосования,8. Число бюллетеней в стационарных ящиках для голосования,9. Число недействительных избирательных бюллетеней,10. Число действительных избирательных бюллетеней,11. Число утраченных избирательных бюллетеней,"12. Число избирательных бюллетеней, не учтенных при получении",13. Бабурин Сергей Николаевич,14. Грудинин Павел Николаевич,15. Жириновский Владимир Вольфович,16. Путин Владимир Владимирович,17. Собчак Ксения Анатольевна,18. Сурайкин Максим Александрович,19. Титов Борис Юрьевич,20. Явлинский Григорий Алексеевич
0.803602556653109,0.708230452674897,1 Бокситогорская,1,2546,0.1013,0.35,0.5285,0.641,2430,2500,0,1582,139,779,139,1582,15,1706,0,0,7,161,99,1383,14,19,11,12
0.783272727272727,0.685443668993021,1 Бокситогорская,10,1990,0.0487,0.2409,0.4638,0.6298,2006,2000,0,1304,71,625,71,1304,19,1356,0,0,13,120,104,1077,13,8,11,10
0.773333333333333,0.734265734265734,3 Волховская,100,722,0.1107,0.3026,0.5227,0.691,715,800,0,438,87,275,87,438,5,520,0,0,9,51,34,406,12,3,1,4
0.803953871499176,0.700923787528868,3 Волховская,101,888,0.0957,0.2838,0.4178,0.4899,866,880,0,509,98,273,98,509,2,605,0,0,5,56,42,488,5,3,6,0
0.759398496240602,0.696335078534031,3 Волховская,102,611,0.0801,0.2773,0.4755,0.5853,573,610,0,361,38,211,38,361,5,394,0,0,2,43,24,303,4,6,8,4
0.751173708920188,0.607703281027104,3 Волховская,103,712,0.0983,0.2787,0.4538,0.5485,701,730,0,406,20,304,20,406,3,423,0,0,3,47,34,320,8,4,3,4
0.766899766899767,0.604225352112676,3 Волховская,104,713,0.049,0.1748,0.4492,0.5537,710,740,0,371,58,311,58,371,2,427,0,0,4,58,22,329,8,1,3,2
0.792698826597132,0.716153127917834,3 Волховская,105,1127,0.0488,0.2518,0.4588,0.5528,1071,1100,0,675,92,333,92,675,13,754,0,0,4,77,40,608,13,5,3,4
0.76780487804878,0.683789192795197,3 Волховская,106,1514,0.0859,0.2244,0.5168,0.602,1499,1600,0,937,88,575,88,937,17,1008,0,0,8,124,59,787,9,11,6,4
0.769675925925926,0.701298701298701,3 Волховская,107,1320,0.0681,0.2304,0.4879,0.5921,1232,1300,0,807,57,436,57,807,23,841,0,0,6,76,52,665,18,9,8,7
0.733893557422969,0.595,3 Волховская,108,1205,0.0564,0.2162,0.4167,0.4896,1200,1200,0,624,90,486,90,624,7,707,0,0,15,98,54,524,10,1,2,3
0.731617647058823,0.58494623655914,3 Волховская,109,941,0.0489,0.2452,0.4328,0.4974,930,980,0,522,22,436,22,522,8,536,0,0,1,80,36,398,7,1,6,7
0.798687089715536,0.672540381791483,1 Бокситогорская,11,2008,0.07,0.2635,0.5,0.6246,2043,2000,0,1316,58,626,58,1313,12,1359,0,0,0,123,86,1095,22,7,15,11
0.698324022346369,0.635879218472469,3 Волховская,110,1151,0.1286,0.2723,0.4183,0.4804,1126,1000,0,686,30,284,30,686,14,702,0,0,5,102,69,500,11,3,8,4
0.684981684981685,0.597374179431072,3 Волховская,111,488,0.0861,0.2254,0.4259,0.5223,457,440,0,236,37,167,37,236,6,267,0,0,1,39,22,187,3,6,3,6
0.846153846153846,0.945454545454546,3 Волховская,112,220,0.5,0.9,0.9409,0.9455,220,260,0,208,0,52,0,208,6,202,0,0,2,10,9,176,1,1,2,1
0.738197424892704,0.70392749244713,3 Волховская,113,338,0.071,0.273,0.4762,0.5893,331,350,0,203,30,117,30,203,3,230,0,0,2,22,25,172,0,3,2,4
0.835443037974684,0.593984962406015,3 Волховская,114,537,0.0633,0.2472,0.4935,0.5638,532,490,0,263,53,174,53,263,4,312,0,0,4,25,16,264,2,0,1,0
0.775252525252525,0.634615384615385,5 Всеволожская,115,633,0.0126,0.09,0.3839,0.5434,624,500,0,379,17,104,17,379,6,390,0,0,5,35,21,307,5,6,3,8
0.82897384305835,0.66310873915944,5 Всеволожская,116,1477,0.0386,0.1571,0.3502,0.5648,1499,1400,0,982,12,406,12,982,5,989,0,0,6,69,40,824,22,7,11,10
0.818852459016394,0.622448979591837,5 Всеволожская,117,2028,0.0365,0.2377,0.4295,0.5296,1960,2100,0,1211,9,880,9,1211,19,1201,0,0,11,88,56,999,26,3,7,11
0.873918980427856,0.900409836065574,5 Всеволожская,118,2404,0.0832,0.2702,0.4946,0.6649,2440,2500,0,2163,34,303,34,2163,19,2178,0,0,8,121,74,1920,18,8,17,12
0.90107120352867,0.777179236043095,5 Всеволожская,119,2042,0.0294,0.1479,0.3105,0.6469,2042,2000,lendata,1568,19,413,19,1568,8,1579,0,0,6,95,14,1430,12,lendata,6,11
0.799193548387097,0.695238095238095,1 Бокситогорская,12,1771,0.0963,0.239,0.5241,0.6373,1785,1600,0,1156,85,359,85,1155,10,1230,0,0,3,118,85,991,16,4,9,4
0.77762982689747,0.627926421404682,5 Всеволожская,120,2379,0.0206,0.1597,0.401,0.5254,2392,2300,0,1488,14,798,14,1488,9,1493,0,0,15,152,71,1168,39,13,16,19
0.83887323943662,0.919212843086484,5 Всеволожская,121,1931,0.0373,0.144,0.4547,0.6473,1931,2000,0,1717,58,225,58,1717,17,1758,0,0,14,112,58,1489,37,4,17,27
0.790296052631579,0.646808510638298,5 Всеволожская,122,1861,0.0387,0.1408,0.4159,0.5599,1880,1900,0,1205,11,684,11,1205,14,1202,0,0,7,110,50,961,40,6,12,16
0.792012057272042,0.603542234332425,5 Всеволожская,123,2202,0.0363,0.1508,0.3928,0.5114,2202,2100,0,1267,62,771,62,1265,12,1315,0,0,12,121,65,1051,33,7,9,17
0.813148788927336,0.611769686706181,5 Всеволожская,124,2360,0.0161,0.1076,0.3734,0.5182,2362,2400,0,1403,42,955,42,1403,11,1434,0,0,7,124,65,1175,22,4,16,21
0.758276077451593,0.738128169663439,5 Всеволожская,125,2126,0.2219,0.3719,0.4872,0.5986,2169,2100,0,1590,11,499,11,1590,12,1589,0,0,6,157,127,1214,51,10,13,11
0.789889415481833,0.56092157731502,5 Всеволожская,126,2224,0.0427,0.1848,0.2241,0.2241,2257,2300,0,1245,21,1034,21,1245,14,1252,0,0,10,121,49,1000,29,7,21,15
0.720588235294118,0.962996802192782,5 Всеволожская,127,2126,0.0945,0.352,0.7123,0.8611,2189,2150,0,2070,38,42,38,2070,40,2068,0,0,5,178,168,1519,137,12,21,28
0.81104033970276,0.627581612258494,5 Всеволожская,128,1501,0.0566,0.1626,0.429,0.5803,1501,1300,0,929,13,358,13,929,4,938,0,0,4,87,29,764,26,3,10,15
0.778614457831325,0.665997993981946,5 Всеволожская,129,1853,0.0869,0.184,0.4857,0.6076,1994,1900,0,1293,35,572,35,1293,14,1314,0,0,13,118,76,1034,36,4,18,15
0.796778190830236,0.722794446932378,1 Бокситогорская,13,2321,0.0408,0.2172,0.5013,0.6167,2233,2000,0,1397,217,386,217,1397,15,1599,0,0,8,135,104,1286,29,16,13,8
0.783831282952548,0.758139534883721,5 Всеволожская,130,1440,0.0771,0.3507,0.6944,0.7243,1505,1400,0,1121,20,259,20,1118,10,1128,0,0,5,82,46,892,57,6,21,19
