reg_id,Регион,Вышестоящая комиссия,№ УИК,Число избирателей на январь,МН пришли,МН ушли,исключенные в течение 4 дней,"Число избирателей, внесенных в списки избирателей",10.00,12.00,15.00,18.00,"1. Число избирателей, включенных в список избирателей","2. Число избирательных бюллетеней, полученных участковой избирательной комиссией","3. Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","4. Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","5. Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",6. Число погашенных избирательных бюллетеней,7. Число избирательных бюллетеней в переносных ящиках для голосования,8. Число бюллетеней в стационарных ящиках для голосования,9. Число недействительных избирательных бюллетеней,10. Число действительных избирательных бюллетеней,11. Число утраченных избирательных бюллетеней,"12. Число избирательных бюллетеней, не учтенных при получении",13. Бабурин Сергей Николаевич,14. Грудинин Павел Николаевич,15. Жириновский Владимир Вольфович,16. Путин Владимир Владимирович,17. Собчак Ксения Анатольевна,18. Сурайкин Максим Александрович,19. Титов Борис Юрьевич,20. Явлинский Григорий Алексеевич,vidano,yavka
78,город Санкт-Петербург,1 Территориальная избирательная комиссия №1,1,1771,128,98,7,1558,"0,0321","0,12","0,3736","0,5013",1603,1500,0,939,14,547,14,939,13,940,0,0,8,77,40,688,58,8,15,46,953,"0,594510293200249"
78,город Санкт-Петербург,1 Территориальная избирательная комиссия №1,2,1573,134,98,2,1370,"0,0328","0,0876","0,3496","0,5248",1403,1200,0,849,20,331,20,848,11,857,0,0,10,86,34,616,48,8,22,33,869,"0,619387027797576"
78,город Санкт-Петербург,1 Территориальная избирательная комиссия №1,3,2358,121,161,10,1886,"0,0323","0,1172","0,2969","0,4751",1882,2000,0,1172,32,796,32,1170,16,1186,0,0,12,103,52,869,67,7,20,56,1204,"0,639744952178533"
78,город Санкт-Петербург,1 Территориальная избирательная комиссия №1,4,1058,120,62,4,926,"0,0259","0,121","0,3089","0,5173",944,800,0,577,7,216,7,576,6,577,0,0,8,69,34,398,32,0,9,27,584,"0,61864406779661"
78,город Санкт-Петербург,1 Территориальная избирательная комиссия №1,5,2038,154,140,10,1683,"0,0357","0,1373","0,3512","0,5074",1727,1800,0,1027,22,751,22,1023,18,1027,0,0,7,109,58,733,43,7,21,49,1049,"0,607411696583671"
78,город Санкт-Петербург,1 Территориальная избирательная комиссия №1,6,1691,86,129,1,1378,"0,0363","0,1328","0,299","0,5348",1414,1300,0,864,17,419,17,864,16,865,0,0,5,88,27,629,49,4,21,42,881,"0,623055162659123"
78,город Санкт-Петербург,1 Территориальная избирательная комиссия №1,7,2335,273,172,6,2039,"0,0319","0,0392","0,3811","0,541",2318,2000,0,1328,28,644,28,1323,22,1329,0,0,22,145,75,938,69,8,28,44,1356,"0,584987057808455"
78,город Санкт-Петербург,1 Территориальная избирательная комиссия №1,8,1656,159,101,5,1412,"0,0673","0,1735","0,3144","0,517",1412,1500,0,894,21,585,21,892,10,903,0,0,8,78,22,647,79,9,22,38,915,"0,648016997167138"
78,город Санкт-Петербург,1 Территориальная избирательная комиссия №1,9,1603,165,137,8,1302,"0,033","0,1221","0,3894","0,5338",1319,1500,0,828,17,655,17,825,13,829,0,0,14,69,27,624,33,3,13,46,845,"0,640636846095527"
78,город Санкт-Петербург,1 Территориальная избирательная комиссия №1,10,1814,173,101,3,1539,"0,026","0,1027","0,2943","0,4756",1539,1500,0,888,30,582,30,884,21,893,0,0,6,69,36,658,57,7,23,37,918,"0,596491228070175"
78,город Санкт-Петербург,1 Территориальная избирательная комиссия №1,11,2041,223,174,1,1732,"0,0445","0,1207","0,261","0,4723",2001,1500,0,1070,25,405,25,1067,20,1072,0,0,13,111,50,731,78,5,14,70,1095,"0,547226386806596"
78,город Санкт-Петербург,1 Территориальная избирательная комиссия №1,12,998,105,75,2,847,"0,0437","0,1051","0,3731","0,4392",974,700,0,514,10,176,10,513,8,515,0,0,4,44,35,373,32,5,3,19,524,"0,537987679671457"
78,город Санкт-Петербург,1 Территориальная избирательная комиссия №1,13,2192,118,184,3,1745,"0,0321","0,0544","0,2762","0,4877",1772,2000,0,1024,22,954,22,1020,14,1028,0,0,12,86,38,772,51,10,13,46,1046,"0,590293453724605"
78,город Санкт-Петербург,1 Территориальная избирательная комиссия №1,14,2291,311,141,3,2003,"0,022","0,1178","0,351","0,5122",1957,2000,0,1254,13,733,13,1254,26,1241,0,0,9,115,56,904,65,7,17,68,1267,"0,647419519672968"
