Вышестоящая комиссия,№ УИК,vidano,yavka,puten
1 Территориальная избирательная комиссия №1,1,953,"0,594510293200249","0,721930745015739"
1 Территориальная избирательная комиссия №1,2,869,"0,619387027797576","0,709677419354838"
1 Территориальная избирательная комиссия №1,3,1204,"0,639744952178533","0,722961730449251"
1 Территориальная избирательная комиссия №1,4,584,"0,61864406779661","0,682675814751286"
1 Территориальная избирательная комиссия №1,5,1049,"0,607411696583671","0,701435406698564"
1 Территориальная избирательная комиссия №1,6,881,"0,623055162659123","0,713961407491487"
1 Территориальная избирательная комиссия №1,7,1356,"0,584987057808455","0,694300518134715"
1 Территориальная избирательная комиссия №1,8,915,"0,648016997167138","0,708652792990142"
1 Территориальная избирательная комиссия №1,9,845,"0,640636846095527","0,741092636579572"
1 Территориальная избирательная комиссия №1,10,918,"0,596491228070175","0,719912472647702"
1 Территориальная избирательная комиссия №1,11,1095,"0,547226386806596","0,669413919413919"
1 Территориальная избирательная комиссия №1,12,524,"0,537987679671457","0,713193116634799"
1 Территориальная избирательная комиссия №1,13,1046,"0,590293453724605","0,74088291746641"
1 Территориальная избирательная комиссия №1,14,1267,"0,647419519672968","0,713496448303078"
1 Территориальная избирательная комиссия №1,15,1251,"0,681743869209809","0,70423661071143"
1 Территориальная избирательная комиссия №1,16,1246,"0,70755252697331","0,654062751407884"
1 Территориальная избирательная комиссия №1,17,1017,"0,614873035066505","0,718780727630285"
1 Территориальная избирательная комиссия №1,18,784,"0,548635409377186","0,681177976952624"
1 Территориальная избирательная комиссия №1,19,1064,"0,682051282051282","0,7233238904627"
1 Территориальная избирательная комиссия №1,20,947,"0,650412087912087","0,666666666666666"
1 Территориальная избирательная комиссия №1,21,1100,"0,661853188929001","0,660250240615976"
1 Территориальная избирательная комиссия №1,22,997,"0,631812420785804","0,70210631895687"
1 Территориальная избирательная комиссия №1,23,748,"0,62751677852349","0,69758064516129"
1 Территориальная избирательная комиссия №1,24,876,"0,589105581708137","0,735697940503432"
1 Территориальная избирательная комиссия №1,25,1282,"0,651422764227642","0,718553459119496"
1 Территориальная избирательная комиссия №1,26,702,"0,657919400187441","0,728571428571428"
1 Территориальная избирательная комиссия №1,27,840,"0,620384047267356","0,698564593301435"
1 Территориальная избирательная комиссия №1,28,882,"0,709003215434083","0,747165532879818"
1 Территориальная избирательная комиссия №1,29,895,"0,58420365535248","0,706278026905829"
1 Территориальная избирательная комиссия №1,30,853,"0,631851851851851","0,681551116333725"
1 Территориальная избирательная комиссия №1,31,1525,"0,806025369978858","0,739644970414201"
1 Территориальная избирательная комиссия №1,32,1257,"0,748659916617033","0,710526315789473"
1 Территориальная избирательная комиссия №1,33,1297,"0,573893805309734","0,703849175176747"
1 Территориальная избирательная комиссия №1,34,1208,"0,748451053283767","0,768019884009942"
1 Территориальная избирательная комиссия №1,35,772,"0,673060156931124","0,696891191709844"
1 Территориальная избирательная комиссия №1,36,1074,"0,638146167557932","0,723463687150838"
1 Территориальная избирательная комиссия №1,37,627,"0,660695468914647","0,696969696969697"
1 Территориальная избирательная комиссия №1,38,985,"0,588410991636798","0,718781725888324"
1 Территориальная избирательная комиссия №1,39,1023,"0,570870535714285","0,680705190989226"
1 Территориальная избирательная комиссия №1,40,1142,"0,629201101928374","0,708406304728546"
1 Территориальная избирательная комиссия №1,41,597,"0,62776025236593","0,710217755443886"
1 Территориальная избирательная комиссия №1,42,1091,"0,646710136336692","0,705611775528978"
1 Территориальная избирательная комиссия №1,43,1757,"0,844711538461538","0,724373576309795"
1 Территориальная избирательная комиссия №1,44,785,"0,677308024158757","0,69693094629156"
1 Территориальная избирательная комиссия №1,45,1136,"0,657027183342972","0,715669014084507"
1 Территориальная избирательная комиссия №1,46,1162,"0,665902578796561","0,660929432013769"
1 Территориальная избирательная комиссия №1,47,1540,"0,630114566284779","0,69771986970684"
1 Территориальная избирательная комиссия №1,48,630,"0,633165829145728","0,704761904761904"
1 Территориальная избирательная комиссия №1,49,1190,"0,656370656370656","0,720773759461732"
1 Территориальная избирательная комиссия №1,50,1275,"0,56970509383378","0,725058915946582"
1 Территориальная избирательная комиссия №1,51,921,"0,620619946091644","0,717391304347826"
1 Территориальная избирательная комиссия №1,52,1665,"0,646853146853146","0,679279279279279"
1 Территориальная избирательная комиссия №1,53,1179,"0,618897637795275","0,742784380305602"
1 Территориальная избирательная комиссия №1,54,1236,"0,618309154577288","0,737998372660699"
1 Территориальная избирательная комиссия №1,55,1025,"0,722339675828047","0,758317025440313"
1 Территориальная избирательная комиссия №1,56,1265,"0,662650602409638","0,765127388535031"
1 Территориальная избирательная комиссия №1,57,1226,"0,620131512392514","0,658238172920065"
1 Территориальная избирательная комиссия №1,58,980,"0,736288504883546","0,751279426816786"
1 Территориальная избирательная комиссия №1,59,1029,"0,497822931785195","0,757045675413022"
1 Территориальная избирательная комиссия №1,60,590,"0,621707060063224","0,706779661016949"
1 Территориальная избирательная комиссия №1,61,939,"0,602309172546504","0,785942492012779"
1 Территориальная избирательная комиссия №1,62,388,"0,953316953316953","0,705426356589147"
1 Территориальная избирательная комиссия №1,63,281,1,"0,782918149466192"
2 Территориальная избирательная комиссия №2,104,1231,"0,778128950695322","0,715308863025962"
2 Территориальная избирательная комиссия №2,105,1310,"0,739695087521174","0,735068912710566"
2 Территориальная избирательная комиссия №2,106,890,"0,606680299931833","0,703370786516853"
2 Территориальная избирательная комиссия №2,107,997,"0,71011396011396","0,681043129388164"
2 Территориальная избирательная комиссия №2,108,1002,"0,682561307901907","0,732967032967032"
2 Территориальная избирательная комиссия №2,109,1106,"0,676866585067319","0,70253164556962"
2 Территориальная избирательная комиссия №2,110,791,"0,54551724137931","0,731984829329962"
2 Территориальная избирательная комиссия №2,111,998,"0,578215527230591","0,708416833667334"
2 Территориальная избирательная комиссия №2,112,1025,"0,539189900052603","0,668292682926829"
2 Территориальная избирательная комиссия №2,113,967,"0,594710947109471","0,706735751295336"
2 Территориальная избирательная комиссия №2,114,1055,"0,739313244569025","0,753320683111954"
2 Территориальная избирательная комиссия №2,115,1261,"0,596499526963103","0,726407613005551"
2 Территориальная избирательная комиссия №2,116,1289,"0,53955629970699","0,719937936384794"
2 Территориальная избирательная комиссия №2,117,1048,"0,581898945030538","0,723180076628352"
2 Территориальная избирательная комиссия №2,118,995,"0,506877228731533","0,715291750503018"
2 Территориальная избирательная комиссия №2,119,1281,"0,639221556886227","0,689305230288836"
2 Территориальная избирательная комиссия №2,120,1041,"0,597246127366609","0,685274302213667"
2 Территориальная избирательная комиссия №2,121,953,"0,647418478260869","0,698833510074231"
2 Территориальная избирательная комиссия №2,122,973,"0,667352537722908","0,70886075949367"
2 Территориальная избирательная комиссия №2,123,912,"0,554744525547445","0,673245614035087"
