ТИК,район,№ УИК,Число избирателей на январь,МН пришли,МН ушли,КОИБ(1)/КЕГ(2),Адрес голосования,location_type,адреса домов,телефон,url,uikpage,Адрес комиссии,phone
1,Адмиралтейский,1,1771,128,98,0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лермонтовский проспект, дом 14, СПб ГБУ ""Дом молодежи ""Рекорд""",СПб ГБУ 'Дом молодежи 'Рекорд',"Коломна,Климов переулок 3; 4; 5; 7; 8; 9; 1/6
 Коломна,Крюкова канала набережная 25; 27; 31
 Коломна,Лабутина улица 8; 4/2
 Коломна,Лермонтовский проспект 20; 22; 24; 26; 27; 28; 29; 30; 31; 33; 35; 37
 Коломна,Макаренко переулок 5; 7; 9; 10; 11; 13; 6-8; 14/145; 15/147
 Коломна,Фонтанки реки набережная 149",8(931)3263041,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001001&tvd=4784001239117&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239117,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162553,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лермонтовский проспект, дом 14, СПб ГБУ ""Дом молодежи ""Рекорд""",8(812)4951268
1,Адмиралтейский,2,1573,134,98,0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лермонтовский проспект, дом 21, ГБОУ СОШ №260",ГБОУ СОШ №260,"Коломна,Грибоедова канала набережная 124
 Коломна,Канонерская улица 4
 Коломна,Крюкова канала набережная 23
 Коломна,Лабутина улица 3; 7; 13; 15; 17
 Коломна,Лермонтовский проспект 12; 14; 17; 18; 23
 Коломна,Макаренко переулок 3
 Коломна,Садовая улица 66; 68; 69; 70; 71; 76; 77; 78; 80; 81; 82; 83; 84; 85; 86; 88; 89; 91; 72/16",8(812)7141668,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001002&tvd=4784001239118&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239118,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162565,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лермонтовский проспект, дом 14, СПб ГБУ ""Дом молодежи ""Рекорд""",8(812)4951268
1,Адмиралтейский,3,2358,121,161,0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Канонерская улица, дом 33, ГБОУ СОШ №234",ГБОУ СОШ №234,"Коломна,Английский проспект 43; 45; 51; 52; 56; 58; 60; 62
 Коломна,Калинкин переулок 4
 Коломна,Лабутина улица 10; 12; 16; 30; 16к2; 20-22
 Коломна,Люблинский переулок 3; 4; 5; 7; 1/3; 2/5
 Коломна,Прядильный переулок 4; 8-10; 12/163
 Коломна,Садовая улица 90; 92; 94; 96; 102; 106
 Коломна,Фонтанки реки набережная 165; 167; 171; 179; 181/6",8(812)4175310,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001003&tvd=4784001239119&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239119,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162649,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Канонерская улица, дом 33, ГБОУ СОШ №234",8(812)4175311
1,Адмиралтейский,4,1058,120,62,0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Садовая улица, дом 108, ГБОУ СОШ №234",ГБОУ СОШ №234,"Коломна,Лабутина улица 36
 Коломна,Садовая улица 116; 118; 120; 122; 124; 128; 112-114
 Коломна,Фонтанки реки набережная 183; 187; 189; 191",8(812)7144921,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001004&tvd=4784001239120&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239120,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162661,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Канонерская улица, дом 33, ГБОУ СОШ №234",8(812)4175311
1,Адмиралтейский,5,2038,154,140,0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лермонтовский проспект, дом 14, СПб ГБУ ""Дом молодежи ""Рекорд""",СПб ГБУ 'Дом молодежи 'Рекорд',"Коломна,Английский проспект 44; 46; 48
 Коломна,Грибоедова канала набережная 130; 132; 136; 138; 140; 142; 144; 146; 152; 148-150
 Коломна,Канонерская улица 3; 5; 14; 17; 23; 25; 7-9; 11/8; 19-21
 Коломна,Лермонтовский проспект 15
 Коломна,Пасторова улица 3; 4; 5; 6; 7
 Коломна,Садовая улица 95; 97; 99; 101; 103",8(812)4951267,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001005&tvd=4784001239121&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239121,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162673,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лермонтовский проспект, дом 14, СПб ГБУ ""Дом молодежи ""Рекорд""",8(812)4951268
1,Адмиралтейский,6,1691,86,129,0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Канонерская улица, дом 33, ГБОУ СОШ №234",ГБОУ СОШ №234,"Коломна,Грибоедова канала набережная 154; 156; 158; 160; 162; 164; 168; 170
 Коломна,Канонерская улица 27; 29; 31
 Коломна,Садовая улица 105; 107; 109; 115; 117; 119; 123; 125; 127; 129; 111-113",8(931)3263049,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001006&tvd=4784001239122&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239122,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162685,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Канонерская улица, дом 33, ГБОУ СОШ №234",8(812)4175311
1,Адмиралтейский,7,2335,273,172,0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, Лоцманская улица, дом 10, ФГБОУ ВО ""Санкт-Петербургский государственный морской технический университет""",ФГБОУ ВО 'Санкт-Петербургский государственный морской технический университет',"Коломна,Витебская улица 9; 15; 16; 19; 20; 21; 23; 25; 2/7; 27; 29; 31
 Коломна,Лоцманская улица 6
 Коломна,Мясная улица 5; 10; 19-21
 Коломна,Пряжки реки набережная 36; 38; 40; 46; 48; 50; 56; 66; 62-64
 Коломна,Псковская улица 13; 15; 25; 26; 34; 36; 19-21; 30-32
 Коломна,Римского-Корсакова проспект 107; 113; 115; 109-111
 Коломна,Фонтанки реки набережная 203",8(931)3263051,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001007&tvd=4784001239123&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239123,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162709,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, улица Союза Печатников, дом 26, ГБОУ СОШ №245",8(812)7140584
1,Адмиралтейский,8,1656,159,101,0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная Крюкова канала, дом 15, ГБОУ СОШ №232",ГБОУ СОШ №232,"Коломна,Крюкова канала набережная 9; 11; 15; 17; 19; 7/2
 Коломна,Лермонтовский проспект 8А; 8/10А; 9/55; 10/53
 Коломна,Римского-Корсакова проспект 20; 49; 51; 57; 59; 61; 63; 18/13
 Коломна,Союза Печатников улица 4; 6; 8; 10",8(812)4173483,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001008&tvd=4784001239124&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239124,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162733,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная Крюкова канала, дом 15, ГБОУ СОШ №232",8(812)4173483
1,Адмиралтейский,9,1603,165,137,0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная Крюкова канала, дом 3, ГБОУ СОШ №259",ГБОУ СОШ №259,"Коломна,Декабристов улица 46; 48; 50; 52; 36/1
 Коломна,Лермонтовский проспект 3; 4; 5/11; 7/12
 Коломна,Союза Печатников улица 3; 5; 7; 14; 17; 19; 9/6; 21/8; 13-15; 18-20",8(812)4176110,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001009&tvd=4784001239125&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239125,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162769,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная Крюкова канала, дом 15, ГБОУ СОШ №232",8(812)4173483
1,Адмиралтейский,10,1814,173,101,0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная Крюкова канала, дом 3, ГБОУ СОШ №259",ГБОУ СОШ №259,"Коломна,Декабристов улица 29; 31; 33; 37; 39; 41; 43-45
 Коломна,Матвеева переулок 3
 Коломна,Мойки реки набережная 104; 110; 112
 Коломна,Писарева улица 10; 14; 18; 6-8",8(812)4176109,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001010&tvd=4784001239126&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239126,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162793,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная Крюкова канала, дом 15, ГБОУ СОШ №232",8(812)4173483
