ТИК,УИК,Приняли участие в выборах,Явка,Путин Владимир Владимирович 
TIK-1,63,281,100%,78%
TIK-1,62,388,95%,67%
TIK-1,43,1757,84%,61%
TIK-1,31,1525,81%,59%
TIK-1,32,1257,75%,53%
TIK-1,34,1208,75%,57%
TIK-1,58,980,74%,55%
TIK-1,55,1025,72%,55%
TIK-1,28,882,71%,53%
TIK-1,16,1246,71%,46%
TIK-1,19,1064,68%,49%
TIK-1,15,1251,68%,48%
TIK-1,44,785,68%,47%
TIK-1,35,772,67%,47%
TIK-1,46,1162,67%,44%
TIK-1,56,1265,66%,50%
TIK-1,21,1100,66%,41%
TIK-1,37,627,66%,46%
TIK-1,26,702,66%,48%
TIK-1,45,1136,66%,47%
TIK-1,49,1190,66%,47%
TIK-1,25,1282,65%,46%
TIK-1,20,947,65%,43%
TIK-1,8,915,65%,46%
TIK-1,14,1267,65%,46%
TIK-1,52,1665,65%,44%
TIK-1,42,1091,65%,45%
TIK-1,9,845,64%,47%
TIK-1,3,1204,64%,46%
TIK-1,36,1074,64%,46%
TIK-1,48,630,63%,45%
TIK-1,30,853,63%,43%
TIK-1,22,997,63%,44%
TIK-1,47,1540,63%,44%
TIK-1,40,1142,63%,45%
TIK-1,41,597,63%,45%
TIK-1,23,748,63%,44%
TIK-1,6,881,62%,44%
TIK-1,60,590,62%,44%
TIK-1,51,921,62%,44%
TIK-1,27,840,62%,43%
TIK-1,57,1226,62%,41%
TIK-1,2,869,62%,44%
TIK-1,53,1179,62%,46%
TIK-1,4,584,62%,42%
TIK-1,54,1236,62%,45%
TIK-1,17,1017,61%,44%
TIK-1,5,1049,61%,42%
TIK-1,61,939,60%,47%
TIK-1,10,918,60%,43%
TIK-1,1,953,59%,43%
TIK-1,13,1046,59%,44%
TIK-1,24,876,59%,43%
TIK-1,38,985,59%,42%
TIK-1,7,1356,58%,40%
TIK-1,29,895,58%,41%
TIK-1,33,1297,57%,40%
TIK-1,39,1023,57%,39%
TIK-1,50,1275,57%,41%
TIK-1,18,784,55%,37%
TIK-1,11,1095,55%,37%
TIK-1,12,524,54%,38%
TIK-1,59,1029,50%,38%
TIK-10,203,549,76%,59%
TIK-10,231,1138,76%,55%
TIK-10,237,1274,75%,57%
TIK-10,213,1497,73%,56%
TIK-10,244,1344,73%,55%
TIK-10,210,1398,72%,53%
TIK-10,225,1298,72%,52%
TIK-10,235,1458,71%,55%
TIK-10,214,1479,71%,54%
TIK-10,238,1054,71%,54%
TIK-10,212,1455,71%,52%
TIK-10,233,1191,70%,54%
TIK-10,220,1304,70%,54%
TIK-10,205,1305,70%,53%
TIK-10,229,1438,70%,53%
TIK-10,201,1040,70%,53%
TIK-10,236,1285,70%,53%
TIK-10,232,1457,69%,50%
TIK-10,228,1255,69%,51%
TIK-10,242,1177,69%,50%
TIK-10,206,1171,69%,50%
TIK-10,209,1255,68%,53%
TIK-10,199,1233,67%,54%
TIK-10,226,1321,67%,51%
TIK-10,240,1069,66%,49%
TIK-10,207,882,66%,49%
TIK-10,202,1081,66%,52%
TIK-10,239,1504,66%,49%
TIK-10,211,1439,65%,49%
TIK-10,243,1291,65%,48%
TIK-10,222,1414,65%,49%
TIK-10,241,1176,65%,46%
TIK-10,200,1308,65%,50%
TIK-10,218,1329,64%,49%
TIK-10,223,982,63%,47%
TIK-10,216,1133,63%,47%
TIK-10,230,923,62%,47%
TIK-10,234,1100,62%,46%
TIK-10,221,975,62%,49%
TIK-10,215,1480,61%,45%
TIK-10,204,1134,61%,47%
TIK-10,224,919,60%,48%
TIK-10,217,1290,60%,44%
TIK-10,227,1272,59%,46%
TIK-10,208,1488,59%,44%
TIK-10,219,1141,53%,41%
TIK-11,508,933,97%,77%
TIK-11,509,3706,94%,78%
TIK-11,482,1910,86%,73%
TIK-11,507,437,86%,70%
TIK-11,479,1756,81%,58%
TIK-11,431,1373,80%,60%
TIK-11,444,1274,78%,63%
TIK-11,435,1263,78%,58%
TIK-11,432,1333,77%,55%
TIK-11,481,1806,75%,61%
TIK-11,414,1519,75%,49%
TIK-11,490,1433,74%,60%
TIK-11,430,1502,74%,55%
TIK-11,471,1486,74%,52%
TIK-11,487,1370,74%,60%
TIK-11,484,1523,74%,61%
TIK-11,426,1564,73%,56%
TIK-11,488,1233,73%,58%
TIK-11,420,1535,73%,56%
TIK-11,478,1695,73%,54%
TIK-11,446,1111,72%,56%
TIK-11,505,1886,72%,55%
TIK-11,427,1482,72%,56%
TIK-11,436,1385,72%,55%
TIK-11,429,1318,72%,52%
TIK-11,422,1530,72%,54%
TIK-11,486,1938,71%,53%
TIK-11,485,1446,71%,55%
TIK-11,450,1469,71%,56%
TIK-11,455,1428,71%,54%
TIK-11,476,878,71%,52%
TIK-11,442,1359,71%,54%
TIK-11,506,1817,71%,51%
TIK-11,473,1368,71%,55%
TIK-11,439,1435,71%,56%
TIK-11,492,1400,71%,56%
TIK-11,477,1863,70%,56%
TIK-11,425,1389,70%,53%
TIK-11,475,1550,70%,59%
TIK-11,443,1380,70%,53%
TIK-11,459,1614,70%,55%
TIK-11,497,1188,70%,53%
TIK-11,423,1313,70%,49%
TIK-11,440,1850,70%,53%
TIK-11,418,1385,70%,52%
TIK-11,428,1350,70%,54%
TIK-11,441,1562,69%,50%
TIK-11,470,1386,69%,54%
TIK-11,461,1606,69%,53%
TIK-11,445,1336,68%,49%
TIK-11,503,1779,68%,48%
TIK-11,480,1599,68%,55%
TIK-11,451,1277,67%,54%
TIK-11,438,1385,67%,48%
TIK-11,416,1717,67%,50%
TIK-11,496,1066,67%,49%
TIK-11,465,1168,66%,48%
TIK-11,489,1172,66%,50%
TIK-11,466,1392,66%,50%
TIK-11,494,1138,66%,51%
TIK-11,424,1399,65%,49%
TIK-11,467,1136,65%,49%
TIK-11,437,1103,65%,50%
TIK-11,491,1056,65%,50%
TIK-11,462,1056,65%,44%
TIK-11,447,1428,64%,51%
TIK-11,493,1302,64%,47%
TIK-11,472,1604,64%,49%
TIK-11,504,1575,64%,48%
TIK-11,415,1063,64%,46%
TIK-11,458,1594,64%,47%
TIK-11,460,1311,64%,48%
TIK-11,456,1404,63%,46%
TIK-11,417,1644,62%,46%
TIK-11,468,1102,62%,46%
TIK-11,502,1626,62%,46%
TIK-11,498,1243,62%,49%
TIK-11,448,1469,62%,45%
TIK-11,463,1236,61%,45%
TIK-11,469,1433,61%,47%
TIK-11,449,1412,60%,44%
TIK-11,419,1005,60%,42%
TIK-11,495,1421,60%,45%
TIK-11,434,1224,60%,43%
TIK-11,483,976,59%,47%
TIK-11,457,1287,59%,43%
TIK-11,499,1397,58%,45%
TIK-11,433,1111,58%,40%
TIK-11,452,1432,57%,43%
TIK-11,453,1622,56%,40%
TIK-11,501,1012,56%,41%
TIK-11,454,1087,55%,41%
TIK-11,464,1086,55%,40%
TIK-11,421,1552,55%,39%
TIK-11,474,1214,52%,40%
TIK-11,500,1328,50%,37%
TIK-12,1780,1720,81%,66%
TIK-12,1760,1880,74%,61%
TIK-12,1761,1520,74%,62%
TIK-12,1729,916,74%,53%
TIK-12,1788,214,74%,59%
TIK-12,1730,911,73%,54%
TIK-12,1735,1408,70%,55%
TIK-12,1763,1650,70%,53%
TIK-12,1738,1226,70%,52%
TIK-12,1725,809,67%,49%
TIK-12,1783,1350,67%,49%
TIK-12,1747,1258,67%,53%
TIK-12,1731,1581,67%,45%
TIK-12,1772,1202,66%,51%
TIK-12,1746,706,66%,49%
TIK-12,1748,1215,66%,48%
TIK-12,1768,1171,66%,48%
TIK-12,1733,1353,66%,49%
TIK-12,1726,1719,66%,47%
TIK-12,1765,1732,66%,50%
TIK-12,1736,1625,65%,48%
TIK-12,1724,721,65%,51%
TIK-12,1762,1692,65%,51%
TIK-12,1779,1411,65%,48%
TIK-12,1773,881,64%,47%
TIK-12,1776,1314,64%,47%
TIK-12,1739,1073,63%,49%
TIK-12,1757,1425,63%,44%
TIK-12,1777,1031,63%,47%
TIK-12,1756,1285,63%,46%
TIK-12,1771,1223,63%,47%
TIK-12,1732,1484,62%,46%
TIK-12,1781,1484,62%,42%
TIK-12,1743,1171,62%,47%
TIK-12,1741,868,62%,47%
TIK-12,1740,1188,62%,48%
TIK-12,1784,1133,62%,47%
TIK-12,1754,1493,62%,43%
TIK-12,1749,1151,61%,44%
TIK-12,1753,1381,61%,46%
TIK-12,1752,1421,61%,46%
TIK-12,1751,1292,61%,44%
TIK-12,1759,1130,61%,46%
TIK-12,1775,1093,61%,46%
TIK-12,1734,1519,61%,43%
TIK-12,1770,1182,61%,44%
TIK-12,1782,1140,61%,45%
TIK-12,1742,1188,60%,45%
TIK-12,1769,1359,60%,43%
TIK-12,1750,1114,59%,43%
TIK-12,1758,997,59%,41%
TIK-12,1745,1108,58%,42%
TIK-12,1755,874,58%,41%
TIK-12,1744,1387,58%,44%
TIK-12,1766,1665,58%,42%
TIK-12,1767,1217,58%,43%
TIK-12,1785,1151,58%,41%
TIK-12,1778,1147,57%,45%
TIK-12,1737,1250,57%,41%
TIK-12,1787,1112,54%,40%
TIK-12,1764,1455,53%,42%
TIK-12,1774,1241,53%,37%
TIK-12,1786,930,49%,37%
TIK-13,1268,751,98%,86%
TIK-13,1274,1728,95%,76%
TIK-13,1273,408,93%,76%
TIK-13,1272,652,88%,77%
TIK-13,1269,229,79%,59%
TIK-13,1255,371,71%,54%
TIK-13,1261,466,70%,51%
TIK-13,1267,1045,69%,53%
TIK-13,1263,1231,67%,51%
TIK-13,1262,1344,66%,51%
TIK-13,1243,864,65%,51%
TIK-13,1244,963,65%,50%
TIK-13,1251,1138,65%,51%
TIK-13,1271,707,64%,52%
TIK-13,1245,1043,64%,50%
TIK-13,1256,707,63%,50%
TIK-13,1258,917,63%,50%
TIK-13,1265,879,63%,48%
TIK-13,1246,867,62%,48%
TIK-13,1242,1438,62%,48%
TIK-13,1260,824,62%,46%
TIK-13,1252,1075,62%,49%
TIK-13,1257,848,62%,47%
TIK-13,1254,739,62%,49%
TIK-13,1266,483,62%,49%
TIK-13,1264,602,61%,48%
TIK-13,1253,1111,59%,44%
TIK-13,1241,1564,59%,46%
TIK-13,1259,654,58%,44%
TIK-13,1248,1113,57%,44%
TIK-13,1249,821,57%,45%
TIK-13,1240,1176,57%,45%
TIK-13,1250,790,56%,44%
TIK-13,1247,707,55%,37%
TIK-13,1270,52,54%,41%
TIK-13,1239,1648,54%,40%
TIK-14,290,1455,85%,65%
TIK-14,300,1439,81%,63%
TIK-14,298,1343,80%,61%
TIK-14,259,1593,80%,60%
TIK-14,255,1507,79%,58%
TIK-14,294,1235,78%,61%
TIK-14,260,918,78%,60%
TIK-14,256,1347,77%,57%
TIK-14,257,919,77%,57%
TIK-14,252,1554,77%,54%
TIK-14,297,1366,76%,57%
TIK-14,296,588,76%,58%
TIK-14,263,1469,76%,56%
TIK-14,285,1382,76%,57%
TIK-14,301,1361,76%,58%
TIK-14,299,1320,76%,62%
TIK-14,295,748,75%,60%
TIK-14,266,1431,75%,57%
TIK-14,253,1664,75%,54%
TIK-14,254,1187,74%,57%
TIK-14,262,612,74%,54%
TIK-14,272,1227,74%,58%
TIK-14,271,1079,73%,57%
TIK-14,264,1559,73%,53%
TIK-14,258,1554,73%,54%
TIK-14,276,1617,73%,57%
TIK-14,278,1433,73%,57%
TIK-14,309,977,72%,69%
TIK-14,269,907,72%,52%
TIK-14,303,1153,72%,49%
TIK-14,292,692,71%,55%
TIK-14,281,870,71%,54%
TIK-14,265,1428,71%,53%
TIK-14,267,885,70%,46%
TIK-14,289,1276,69%,50%
TIK-14,273,1472,69%,56%
TIK-14,312,1531,69%,51%
TIK-14,293,826,69%,51%
TIK-14,291,728,69%,56%
TIK-14,261,1316,69%,53%
TIK-14,270,1483,69%,56%
TIK-14,275,1201,68%,54%
TIK-14,282,1505,68%,53%
TIK-14,307,1257,68%,46%
TIK-14,280,1258,67%,52%
TIK-14,286,780,67%,50%
TIK-14,304,1232,67%,46%
TIK-14,279,1072,66%,50%
TIK-14,283,1461,66%,53%
TIK-14,306,1551,65%,46%
TIK-14,274,1140,64%,49%
TIK-14,311,1296,63%,44%
TIK-14,277,715,63%,49%
TIK-14,308,1840,63%,43%
TIK-14,284,1117,63%,48%
TIK-14,305,1656,62%,45%
TIK-14,302,1154,62%,43%
TIK-14,310,1030,61%,43%
TIK-14,287,1169,61%,44%
TIK-14,268,1438,61%,45%
TIK-14,288,805,54%,38%
TIK-15,2294,104,100%,99%
TIK-15,2295,322,100%,95%
TIK-15,2293,283,97%,82%
TIK-15,1238,729,80%,62%
TIK-15,1233,1634,79%,63%
TIK-15,1227,1210,74%,61%
TIK-15,1231,1243,73%,59%
TIK-15,1226,1682,73%,54%
TIK-15,1237,1274,71%,57%
